j;c;l;m;sp;lp;lb;nlt;fi;p;f;n;uma
B;101;"Colegiul National ""Sfantul Sava""";URBAN;Matematica-Informatica;Limba romana;-;130;TER;REA;Zi;Liceal;01.09.1981
B;102;"Colegiul National ""Sfantul Sava""";URBAN;Matematica-Informatica;Limba romana;Limba engleza;26;TER;REA;Zi;Liceal;01.09.1998
B;103;"Colegiul National ""Sfantul Sava""";URBAN;Stiinte ale Naturii;Limba romana;-;26;TER;REA;Zi;Liceal;01.09.1984
B;104;"Colegiul National ""Sfantul Sava""";URBAN;Filologie;Limba romana;-;26;TER;UMA;Zi;Liceal;01.09.1967
B;105;"Colegiul National ""I.L.Caragiale""";URBAN;Matematica-Informatica;Limba romana;-;78;TER;REA;Zi;Liceal;01.09.1949
B;106;"Colegiul National ""I.L.Caragiale""";URBAN;Matematica-Informatica;Limba romana;Limba germana;26;TER;REA;Zi;Liceal;01.09.1954
B;108;"Colegiul National ""I.L.Caragiale""";URBAN;Matematica-Informatica;Limba romana;Limba engleza;26;TER;REA;Zi;Liceal;01.09.1960
B;109;"Colegiul National ""I.L.Caragiale""";URBAN;Stiinte ale Naturii;Limba romana;-;26;TER;REA;Zi;Liceal;01.09.1949
B;110;"Colegiul National ""I.L.Caragiale""";URBAN;Filologie;Limba romana;-;26;TER;UMA;Zi;Liceal;01.09.1931
B;111;"Colegiul National ""I.L.Caragiale""";URBAN;Filologie;Limba romana;Limba germana;26;TER;UMA;Zi;Liceal;01.09.2020
B;113;"Colegiul National ""I.L.Caragiale""";URBAN;Filologie;Limba romana;Limba engleza;26;TER;UMA;Zi;Liceal;01.09.1937
B;114;"Colegiul National ""I.L.Caragiale""";URBAN;Stiinte Sociale;Limba romana;-;26;TER;UMA;Zi;Liceal;01.09.1943
B;115;"Colegiul National de Informatica ""Tudor Vianu""";URBAN;Matematica-Informatica;Limba romana;-;208;TER;REA;Zi;Liceal;01.09.1976
B;116;"Colegiul National de Informatica ""Tudor Vianu""";URBAN;Matematica-Informatica;Limba romana;Limba germana;26;TER;REA;Zi;Liceal;01.09.1975
B;117;"Colegiul National ""Aurel Vlaicu""";URBAN;Matematica-Informatica;Limba romana;-;52;TER;REA;Zi;Liceal;01.08.1947
