j;lc;l;t;a;p;f;m;sp
B;102;Colegiul Economic Costin C. Kiriţescu;30;Unitate de învăţământ;URBAN;Peştera Dâmbovicioara 12 060925;314016830;314016830
B;103;Colegiul German Goethe;122;Unitate de învăţământ;URBAN;Cihoschi Stanislav 17 010592;212101776;212113425
B;104;Colegiul Naţional Elena Cuza;63;Unitate de învăţământ;URBAN;Peştera Scărişoara 1 062071;214132495;214134768
B;105;Colegiul Naţional Gheorghe Lazăr;34;Unitate de învăţământ;URBAN;Regina Elisabeta 48 050018;213134756;213134756
B;106;Colegiul Naţional Grigore Moisil;73;Unitate de învăţământ;URBAN;Timişoara 33 061309;214132696;214401006
B;107;Colegiul Naţional I.L.Caragiale;34;Unitate de învăţământ;URBAN;Dorobanţi 163 010564;212301021;212301021
B;108;Colegiul Naţional Ion Neculce;56;Unitate de învăţământ;URBAN;Neculce Ion 2 011255;212224179;212224179
B;109;Colegiul Naţional Mihai Eminescu;54;Unitate de învăţământ;URBAN;Georgescu George 2 040133;213364222;213364222
B;110;Colegiul Naţional de Arte Dinu Lipatti;55;Unitate de învăţământ;URBAN;Principatele Unite 63 040164;213363588;213363299
B;111;Colegiul Naţional de Informatică Tudor Vianu;34;Unitate de învăţământ;URBAN;Mincu Ion, arh. 10 011358;212226670;212226670
B;112;Colegiul Naţional de Muzică George Enescu;44;Unitate de învăţământ;URBAN;Manu Gheorghe 30 010444;213108871;213108871
B;113;Colegiul Național Școala Centrală”;49;Unitate de învăţământ;URBAN;Icoanei 3 020451;212118484;212118484
B;114;Colegiul Național Bilingv ”George Coșbuc”;102;Unitate de învăţământ;URBAN;Olari 29-31 024056;212528080;212528376
B;115;Colegiul Național ”Cantemir Vodă”;35;Unitate de învăţământ;URBAN;Viitorului 60 020615;212106935;212106935
B;116;Colegiul Național ”Emil Racoviță”;34;Unitate de învăţământ;URBAN;Mihai Bravu 169 021322;213217092;213217092
B;117;Colegiul Național ”Spiru Haret”;30;Unitate de învăţământ;URBAN;Italiană 17 020974;213146097;213136462
B;118;Colegiul Național ”Victor Babeș”;29;Unitate de învăţământ;URBAN;Fundeni 254 022328;212407870;212407870
B;119;Colegiul Romano-Catolic Sfântul Iosif;33;Unitate de învăţământ;URBAN;Olteniţei 3-7 041291;213326602;213322684
B;120;Colegiul Tehnic Feroviar Mihai I;19;Unitate de învăţământ;URBAN;Butuceni 10 014579;212207795;212207795
B;121;Complexul Educational Laude-Reut;23;Unitate de învăţământ;URBAN;IULIU BARSCH 15 030791;318055772;318055772
B;122;LICEUL TEORETIC SCOALA MEA;26;Unitate de învăţământ;URBAN;VALIUG 12-18 013986;731359072;376203079
B;123;LICEUL TEORETIC NATIONAL;18;Unitate de învăţământ;URBAN;BUZESTI 14-18 011014;720000171;0
B;124;Liceul ''Româno-Finlandez'';33;Unitate de învăţământ;URBAN;Răsăritului 59 061206;217770795;217770795
B;125;Liceul Greco-Catolic Timotei Cipariu;48;Unitate de învăţământ;URBAN;Bucegi 97 012315;216678434;216678434
B;126;Liceul Internațional Ioanid;16;Unitate de învăţământ;URBAN;NICOLAE IORGA 21 010433;316203697;316203697
B;127;Liceul Pedagogic Anastasia Popescu;29;Unitate de învăţământ;URBAN;Traian 160 024044;212524665;212522387
