ja;n;jp;s;sc;madm;mev;mabs;nro;nmate;lm;nlm;h;sp
B;B10474916;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 188;235;7.80;7.40;9.44;6.80;8.00;-;-;<b>Liceul Teoretic Ștefan Odobleja</b><br/>Real/Liceal/Zi;<b>(331) Matematică-Informatică</b><br/>Limba română
B;B10795656;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 195;282;8.62;8.47;9.25;8.45;8.50;-;-;<b>Liceul Teoretic George Călinescu</b><br/>Umanist/Liceal/Zi;<b>(165) Filologie</b><br/>Limba română
B;B11023952;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Herăstrău;169;6.34;5.70;8.94;6.40;5.00;-;-;<b>Liceul Tehnologic ”Constantin Brâncuși”</b><br/>Resurse naturale și protecția mediului/Liceal/Zi;<b>(237) Protecţia mediului</b><br/>Limba română
B;B10813204;MUNICIPIUL BUCURESTI;Colegiul Național Bilingv ”George Coșbuc”;114;9.41;9.32;9.78;9.25;9.40;-;-;<b>Colegiul Național ”Mihai Viteazul”</b><br/>Real/Liceal/Zi;<b>(180) Matematică-Informatică</b><br/>Limba română
B;IL9070491;IALOMITA;ŞCOALA GIMNAZIALĂ MILOŞEŞTI;159;7.38;6.95;9.12;6.60;7.30;-;-;<b>Liceul Tehnologic Mircea Vulcănescu</b><br/>Servicii/Liceal/Zi;<b>(318) Economic</b><br/>Limba română
B;B8051920;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Geo Bogza;165;7.63;7.32;8.89;7.05;7.60;-;-;<b>Liceul Teoretic Marin Preda</b><br/>Real/Liceal/Zi;<b>(360) Matematică-Informatică</b><br/>Limba română
B;B10886416;MUNICIPIUL BUCURESTI;Colegiul Naţional de Informatică Tudor Vianu;111;9.68;9.62;9.96;9.40;9.85;-;-;<b>Colegiul Naţional de Informatică Tudor Vianu</b><br/>Real/Liceal/Zi;<b>(115) Matematică-Informatică</b><br/>Limba română
B;B12891525;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 41;295;7.80;7.40;9.40;8.40;6.40;-;-;<b>Liceul Dimitrie Paciurea</b><br/>Umanist/Liceal/Zi;<b>(179) Filologie</b><br/>Limba română
B;B10737521;MUNICIPIUL BUCURESTI;Școala Gimnazială „Sfântul Calinic de la Cernica”;332;5.88;5.40;7.84;6.55;4.25;-;-;<b>Colegiul Tehnic Gheorghe Asachi</b><br/>Tehnic/Liceal/Zi;<b>(396) Producţie media</b><br/>Limba română
B;B10918452;MUNICIPIUL BUCURESTI;Colegiul German Goethe;103;9.83;9.83;9.84;9.65;9.85;Limba germană;10.00;<b>Colegiul Naţional Sfântul Sava</b><br/>Real/Liceal/Zi;<b>(101) Matematică-Informatică</b><br/>Limba română
B;B10706240;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 97;318;9.80;9.75;10.00;9.60;9.90;-;-;<b>Colegiul Național Bilingv ”George Coșbuc”</b><br/>Real/Liceal/Zi;<b>(196) Matematică-Informatică</b><br/>Limba română/Limba engleză
B;B10540203;MUNICIPIUL BUCURESTI;Școala Gimnazială ”Grigorie Ghica Voievod”;324;7.76;7.37;9.35;8.35;6.40;-;-;<b>Liceul Teoretic ”Mihail Sadoveanu”</b><br/>Umanist/Liceal/Zi;<b>(216) Filologie</b><br/>Limba română
B;B11132961;MUNICIPIUL BUCURESTI;Liceul Teoretic Jean Monnet;137;7.95;7.70;8.97;7.10;8.30;-;-;<b>Colegiul Naţional Aurel Vlaicu</b><br/>Umanist/Liceal/Zi;<b>(119) Filologie</b><br/>Limba română
B;B11062421;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 82;312;5.66;5.07;8.06;5.65;4.50;-;-;<b>Colegiul Tehnic Mihai Bravu</b><br/>Tehnic/Liceal/Zi;<b>(284) Construcţii, instalaţii şi lucrări publice</b><br/>Limba română
B;B10688910;MUNICIPIUL BUCURESTI;Școala Gimnazială Nicolae Labiș;265;8.37;8.02;9.77;8.75;7.30;-;-;<b>Liceul Teoretic ”Mihail Sadoveanu”</b><br/>Umanist/Liceal/Zi;<b>(217) Ştiinţe Sociale</b><br/>Limba română
B;B10827839;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 308;289;7.10;6.75;8.54;6.90;6.60;-;-;<b>Colegiul Tehnic Energetic</b><br/>Real/Liceal/Zi;<b>(335) Matematică-Informatică</b><br/>Limba română
B;B10728270;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Mircea Sântimbreanu;176;7.84;7.40;9.63;7.10;7.70;-;-;<b>Liceul Teoretic Ștefan Odobleja</b><br/>Real/Liceal/Zi;<b>(331) Matematică-Informatică</b><br/>Limba română
B;GR8807537;GIURGIU;LICEUL TEHNOLOGIC ”TIU DUMITRESCU” MIHĂILEȘTI;102;9.53;9.42;9.97;9.70;9.15;-;-;<b>Colegiul Naţional Elena Cuza</b><br/>Umanist/Liceal/Zi;<b>(354) Filologie</b><br/>Limba română/Limba engleză
B;B10532762;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 135;216;6.84;6.35;8.83;8.00;4.70;-;-;<b>Liceul Tehnologic Dimitrie Gusti</b><br/>Real/Liceal/Zi;<b>(342) Ştiinţe ale Naturii</b><br/>Limba română
B;B10278047;MUNICIPIUL BUCURESTI;Școala Gimnazială Avram Iancu;255;8.02;7.82;8.84;8.45;7.20;-;-;<b>Colegiul Naţional Octav Onicescu</b><br/>Real/Liceal/Zi;<b>(305) Matematică-Informatică</b><br/>Limba română
B;IF9360263;ILFOV;ȘCOALA GIMNAZIALĂ IOAN BĂDESCU POPEȘTI LEORDENI;129;8.56;8.42;9.14;8.15;8.70;-;-;<b>Liceul Teoretic George Călinescu</b><br/>Real/Liceal/Zi;<b>(164) Matematică-Informatică</b><br/>Limba română
B;IF8027599;ILFOV;ȘCOALA GIMNAZIALĂ NR. 1 BUFTEA;139;8.80;8.77;8.94;8.70;8.85;-;-;<b>Liceul Teoretic Nicolae Iorga</b><br/>Umanist/Liceal/Zi;<b>(140) Filologie</b><br/>Limba română
B;B12261314;MUNICIPIUL BUCURESTI;LICEUL TEORETIC NATIONAL;123;6.97;6.65;8.28;6.90;6.40;-;-;<b>Colegiul Tehnic Mihai Bravu</b><br/>Real/Liceal/Zi;<b>(282) Ştiinţe ale Naturii</b><br/>Limba română
B;B10766627;MUNICIPIUL BUCURESTI;Colegiul Național Bilingv ”George Coșbuc”;114;8.73;8.55;9.49;8.40;8.70;-;-;<b>Colegiul Naţional Mihai Eminescu</b><br/>Umanist/Liceal/Zi;<b>(295) Filologie</b><br/>Limba română
B;B10710706;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Herăstrău;169;5.14;4.55;7.53;5.10;4.00;-;-;<b>Colegiul Tehnic Carol I</b><br/>Resurse naturale și protecția mediului/Liceal/Zi;<b>(398) Protecţia mediului</b><br/>Limba română
B;B11123594;MUNICIPIUL BUCURESTI;Liceul Teoretic Alexandru Vlahuţă;130;8.88;8.70;9.63;9.00;8.40;-;-;<b>Colegiul Național Școala Centrală”</b><br/>Umanist/Liceal/Zi;<b>(202) Filologie</b><br/>Limba română
B;B9936281;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 162;225;8.13;7.90;9.09;8.30;7.50;-;-;<b>Colegiul Economic ”A.D.Xenopol”</b><br/>Servicii/Liceal/Zi;<b>(242) Economic</b><br/>Limba română
B;B10813100;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 59;247;9.81;9.77;9.99;9.75;9.80;-;-;<b>Colegiul Naţional Ion Creangă</b><br/>Umanist/Liceal/Zi;<b>(303) Filologie</b><br/>Limba română
B;B9976222;MUNICIPIUL BUCURESTI;Școala Gimnazială Liviu Rebreanu;261;8.29;7.97;9.57;9.50;6.45;-;-;<b>Colegiul Economic V. Madgearu</b><br/>Servicii/Liceal/Zi;<b>(156) Economic</b><br/>Limba română
B;B12259578;MUNICIPIUL BUCURESTI;Liceul Teoretic Dante Alighieri;131;9.59;9.50;9.97;9.65;8.85;Limba italiană;10.00;<b>Liceul Teoretic Dante Alighieri</b><br/>Real/Liceal/Zi;<b>(255) Matematică-Informatică</b><br/>Limba română/Limba italiană
B;B10660700;MUNICIPIUL BUCURESTI;Liceul Teoretic Marin Preda;138;5.87;5.25;8.35;5.30;5.20;-;-;<b>Colegiul Tehnic Carol I</b><br/>Resurse naturale și protecția mediului/Liceal/Zi;<b>(398) Protecţia mediului</b><br/>Limba română
B;IF10420111;ILFOV;ȘCOALA GIMNAZIALĂ ”ANTON PANN” VOLUNTARI;177;7.44;7.05;9.02;8.10;6.00;-;-;<b>Liceul Teoretic C-tin Brâncoveanu</b><br/>Umanist/Liceal/Zi;<b>(135) Filologie</b><br/>Limba română
B;B12569557;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 189;281;6.23;5.65;8.55;6.30;5.00;-;-;<b>Liceul Tehnologic de Metrologie Traian Vuia</b><br/>Real/Liceal/Zi;<b>(310) Matematică-Informatică</b><br/>Limba română
B;B10837543;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 80;310;8.69;8.57;9.17;8.95;8.20;-;-;<b>Colegiul Național Școala Centrală”</b><br/>Umanist/Liceal/Zi;<b>(202) Filologie</b><br/>Limba română
B;B9936425;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 162;225;7.56;7.05;9.64;7.60;6.50;-;-;<b>Colegiul Naţional Aurel Vlaicu</b><br/>Real/Liceal/Zi;<b>(118) Ştiinţe ale Naturii</b><br/>Limba română
