j;c;l;m;sp;lp;lb;nlt;fi;p;f;n;uma
B;101;"Colegiul National ""Sfântul Sava""";URBAN;Matematica-Informatica;Limba româna;-;130;TER;REA;Zi;Liceal;9.81
B;102;"Colegiul National ""Sfântul Sava""";URBAN;Matematica-Informatica;Limba româna;Limba engleza;26;TER;REA;Zi;Liceal;9.98
B;103;"Colegiul National ""Sfântul Sava""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;9.84
B;104;"Colegiul National ""Sfântul Sava""";URBAN;Filologie;Limba româna;-;26;TER;UMA;Zi;Liceal;9.67
B;105;"Colegiul National ""I.L.Caragiale""";URBAN;Matematica-Informatica;Limba româna;-;78;TER;REA;Zi;Liceal;9.49
B;106;"Colegiul National ""I.L.Caragiale""";URBAN;Matematica-Informatica;Limba româna;Limba germana;26;TER;REA;Zi;Liceal;9.54
B;108;"Colegiul National ""I.L.Caragiale""";URBAN;Matematica-Informatica;Limba româna;Limba engleza;26;TER;REA;Zi;Liceal;9.60
B;109;"Colegiul National ""I.L.Caragiale""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;9.49
B;110;"Colegiul National ""I.L.Caragiale""";URBAN;Filologie;Limba româna;-;26;TER;UMA;Zi;Liceal;9.31
B;111;"Colegiul National ""I.L.Caragiale""";URBAN;Filologie;Limba româna;Limba germana;26;TER;UMA;Zi;Liceal;9.20
B;113;"Colegiul National ""I.L.Caragiale""";URBAN;Filologie;Limba româna;Limba engleza;26;TER;UMA;Zi;Liceal;9.37
B;114;"Colegiul National ""I.L.Caragiale""";URBAN;Stiinte Sociale;Limba româna;-;26;TER;UMA;Zi;Liceal;9.43
B;115;"Colegiul National de Informatica ""Tudor Vianu""";URBAN;Matematica-Informatica;Limba româna;-;208;TER;REA;Zi;Liceal;9.76
B;116;"Colegiul National de Informatica ""Tudor Vianu""";URBAN;Matematica-Informatica;Limba româna;Limba germana;26;TER;REA;Zi;Liceal;9.75
B;117;"Colegiul National ""Aurel Vlaicu""";URBAN;Matematica-Informatica;Limba româna;-;52;TER;REA;Zi;Liceal;8.47
B;118;"Colegiul National ""Aurel Vlaicu""";URBAN;Stiinte ale Naturii;Limba româna;-;52;TER;REA;Zi;Liceal;8.70
B;119;"Colegiul National ""Aurel Vlaicu""";URBAN;Filologie;Limba româna;-;52;TER;UMA;Zi;Liceal;8.51
B;120;"Colegiul German ""Goethe""";URBAN;Teor.real spec.germana;Limba germana;-;25;TER;REA;Zi;Liceal;9.32
B;121;"Colegiul German ""Goethe""";URBAN;Matematica-Informatica;Limba germana;-;26;TER;REA;Zi;Liceal;8.82
B;122;"Colegiul German ""Goethe""";URBAN;Filologie;Limba germana;-;26;TER;UMA;Zi;Liceal;8.55
B;123;"Colegiul German ""Goethe""";URBAN;Teor.uman.spec.germana;Limba germana;-;25;TER;UMA;Zi;Liceal;-
B;124;"Colegiul National ""Ion Neculce""";URBAN;Matematica-Informatica;Limba româna;-;78;TER;REA;Zi;Liceal;9.28
B;125;"Colegiul National ""Ion Neculce""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;9.31
B;126;"Colegiul National ""Ion Neculce""";URBAN;Filologie;Limba româna;-;26;TER;UMA;Zi;Liceal;9.18
B;127;"Colegiul National ""Ion Neculce""";URBAN;Filologie;Limba româna;Limba italiana;26;TER;UMA;Zi;Liceal;9.03
B;129;"Colegiul National ""Ion Neculce""";URBAN;Stiinte Sociale;Limba româna;-;26;TER;UMA;Zi;Liceal;9.22
B;130;"Liceul Teoretic ""Jean Monnet""";URBAN;Matematica-Informatica;Limba româna;-;52;TER;REA;Zi;Liceal;9.24
B;131;"Liceul Teoretic ""Jean Monnet""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;9.20
B;132;"Liceul Teoretic ""Jean Monnet""";URBAN;Stiinte Sociale;Limba româna;-;52;TER;UMA;Zi;Liceal;9.09
B;133;"Liceul Teoretic ""C-tin Brâncoveanu""";URBAN;Matematica-Informatica;Limba româna;-;26;TER;REA;Zi;Liceal;8.46
B;134;"Liceul Teoretic ""C-tin Brâncoveanu""";URBAN;Stiinte ale Naturii;Limba româna;-;52;TER;REA;Zi;Liceal;8.20
B;135;"Liceul Teoretic ""C-tin Brâncoveanu""";URBAN;Filologie;Limba româna;-;52;TER;UMA;Zi;Liceal;8.22
B;136;"Liceul Teoretic ""C-tin Brâncoveanu""";URBAN;Stiinte Sociale;Limba româna;-;52;TER;UMA;Zi;Liceal;8.20
B;137;"Liceul Teoretic ""Nicolae Iorga""";URBAN;Matematica-Informatica;Limba româna;-;52;TER;REA;Zi;Liceal;9.46
B;138;"Liceul Teoretic ""Nicolae Iorga""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;9.40
B;139;"Liceul Teoretic ""Nicolae Iorga""";URBAN;Stiinte ale Naturii;Limba româna;Limba engleza;26;TER;REA;Zi;Liceal;9.42
B;140;"Liceul Teoretic ""Nicolae Iorga""";URBAN;Filologie;Limba româna;-;26;TER;UMA;Zi;Liceal;9.25
B;141;"Liceul Teoretic ""Nicolae Iorga""";URBAN;Stiinte Sociale;Limba româna;-;26;TER;UMA;Zi;Liceal;9.30
B;142;"Liceul Teoretic ""Alexandru Vlahuta""";URBAN;Filologie;Limba româna;-;52;TER;UMA;Zi;Liceal;8.93
B;143;"Liceul Teoretic ""Alexandru Vlahuta""";URBAN;Filologie;Limba româna;Limba germana;26;TER;UMA;Zi;Liceal;8.63
B;145;"Liceul Teoretic Bilingv ""Miguel de Cervantes""";URBAN;Matematica-Informatica;Limba româna;-;26;TER;REA;Zi;Liceal;9.21
B;146;"Liceul Teoretic Bilingv ""Miguel de Cervantes""";URBAN;Matematica-Informatica;Limba româna;Limba spaniola;26;TER;REA;Zi;Liceal;8.54
B;147;"Liceul Teoretic Bilingv ""Miguel de Cervantes""";URBAN;Filologie;Limba româna;-;26;TER;UMA;Zi;Liceal;9.03
B;148;"Liceul Teoretic Bilingv ""Miguel de Cervantes""";URBAN;Filologie;Limba româna;Limba spaniola;26;TER;UMA;Zi;Liceal;8.17
B;149;"Liceul Teoretic Bulgar ""Hristo Botev""";URBAN;Matematica-Informatica;Limba româna;-;26;TER;REA;Zi;Liceal;7.75
B;150;"Liceul Teoretic Bulgar ""Hristo Botev""";URBAN;Filologie;Limba româna;-;26;TER;UMA;Zi;Liceal;7.97
B;151;"Liceul Teoretic Bulgar ""Hristo Botev""";URBAN;Filologie;Limba romani (rromani);-;26;TER;UMA;Zi;Liceal;-
B;152;"Liceul Teoretic Bulgar ""Hristo Botev""";URBAN;Filologie;Limba bulgara;-;9;TER;UMA;Zi;Liceal;-
B;153;"Liceul Teoretic Bulgar ""Hristo Botev""";URBAN;Filologie;Limba neogreaca;-;9;TER;UMA;Zi;Liceal;-
B;154;"Liceul Teoretic Bulgar ""Hristo Botev""";URBAN;Filologie;Limba rusa;-;8;TER;UMA;Zi;Liceal;-
B;155;"Liceul Greco-Catolic ""Timotei Cipariu""";URBAN;Matematica-Informatica;Limba româna;-;26;TER;REA;Zi;Liceal;8.10
B;156;"Colegiul Economic ""V. Madgearu""";URBAN;Economic;Limba româna;-;216;THN;SRV;Zi;Liceal;8.85
B;157;"Colegiul Economic ""V. Madgearu""";URBAN;Turism Si alimentatie;Limba româna;-;24;THN;SRV;Zi;Liceal;9.01
B;158;"Colegiul Tehnic ""Dinicu Golescu""";URBAN;Turism Si alimentatie;Limba româna;-;48;THN;SRV;Zi;Liceal;6.61
B;159;"Colegiul Tehnic ""Dinicu Golescu""";URBAN;Mecanica;Limba româna;-;24;THN;TEH;Zi;Liceal;5.29
B;160;"Colegiul Tehnic ""Media""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;-
B;161;"Colegiul Tehnic ""Media""";URBAN;Productie media;Limba româna;-;120;THN;TEH;Zi;Liceal;6.40
B;162;"Colegiul Tehnic Mecanic ""Grivita""";URBAN;Filologie;Limba româna;-;26;TER;UMA;Zi;Liceal;7.76
B;163;"Colegiul Tehnic Mecanic ""Grivita""";URBAN;Mecanica;Limba româna;-;24;THN;TEH;Zi;Liceal;-
B;164;"Liceul Teoretic ""George Calinescu""";URBAN;Matematica-Informatica;Limba româna;-;78;TER;REA;Zi;Liceal;9.08
B;165;"Liceul Teoretic ""George Calinescu""";URBAN;Filologie;Limba româna;-;78;TER;UMA;Zi;Liceal;8.97
B;166;"Colegiul Tehnic de Aeronautica ""Henri Coanda""";URBAN;Matematica-Informatica;Limba româna;-;26;TER;REA;Zi;Liceal;7.93
B;167;"Colegiul Tehnic de Aeronautica ""Henri Coanda""";URBAN;Filologie;Limba româna;-;26;TER;UMA;Zi;Liceal;7.98
B;168;"Colegiul Tehnic de Aeronautica ""Henri Coanda""";URBAN;Mecanica;Limba româna;-;24;THN;TEH;Zi;Liceal;7.38
B;169;"Colegiul Tehnic de Aeronautica ""Henri Coanda""";URBAN;Electromecanica;Limba româna;-;72;THN;TEH;Zi;Liceal;6.55
B;170;"Colegiul Tehnic Feroviar ""Mihai I""";URBAN;Matematica-Informatica;Limba româna;-;26;TER;REA;Zi;Liceal;7.49
B;171;"Colegiul Tehnic Feroviar ""Mihai I""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;7.41
B;172;"Colegiul Tehnic ""Mircea cel Batrân""";URBAN;Economic;Limba româna;-;48;THN;SRV;Zi;Liceal;6.89
B;173;"Colegiul Tehnic ""Mircea cel Batrân""";URBAN;Mecanica;Limba româna;-;48;THN;TEH;Zi;Liceal;5.01
B;174;"Colegiul Tehnic de Arhitectura Si Lucrari Publice ""Ioan N. Socolescu""";URBAN;Matematica-Informatica;Limba româna;-;26;TER;REA;Zi;Liceal;8.13
B;175;"Colegiul Tehnic de Arhitectura Si Lucrari Publice ""Ioan N. Socolescu""";URBAN;Constructii, instalatii Si lucrari publice;Limba româna;-;24;THN;TEH;Zi;Liceal;7.32
B;176;"Colegiul Tehnologic ""Viaceslav Harnaj""";URBAN;Economic;Limba româna;-;24;THN;SRV;Zi;Liceal;7.48
B;177;"Colegiul Tehnologic ""Viaceslav Harnaj""";URBAN;Turism Si alimentatie;Limba româna;-;24;THN;SRV;Zi;Liceal;7.35
B;178;"Colegiul Tehnologic ""Viaceslav Harnaj""";URBAN;Agricultura;Limba româna;-;48;THN;RES;Zi;Liceal;5.70
B;179;"Liceul ""Dimitrie Paciurea""";URBAN;Filologie;Limba româna;-;26;TER;UMA;Zi;Liceal;7.98
B;180;Colegiul National ”Mihai Viteazul”;URBAN;Matematica-Informatica;Limba româna;-;208;TER;REA;Zi;Liceal;9.61
B;181;Colegiul National ”Mihai Viteazul”;URBAN;Stiinte ale Naturii;Limba româna;-;52;TER;REA;Zi;Liceal;9.63
B;182;Colegiul National ”Cantemir Voda”;URBAN;Matematica-Informatica;Limba româna;-;78;TER;REA;Zi;Liceal;9.42
B;183;Colegiul National ”Cantemir Voda”;URBAN;Matematica-Informatica;Limba româna;Limba engleza;26;TER;REA;Zi;Liceal;9.55
B;184;Colegiul National ”Cantemir Voda”;URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;9.43
B;185;Colegiul National ”Iulia HaSdeu”;URBAN;Matematica-Informatica;Limba româna;-;52;TER;REA;Zi;Liceal;9.47
B;186;Colegiul National ”Iulia HaSdeu”;URBAN;Matematica-Informatica;Limba româna;Limba engleza;26;TER;REA;Zi;Liceal;9.58
B;187;Colegiul National ”Iulia HaSdeu”;URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;9.48
B;188;Colegiul National ”Iulia HaSdeu”;URBAN;Filologie;Limba româna;-;52;TER;UMA;Zi;Liceal;9.31
B;189;Colegiul National ”Iulia HaSdeu”;URBAN;Filologie;Limba româna;Limba spaniola;26;TER;UMA;Zi;Liceal;8.21
B;190;Colegiul National ”Iulia HaSdeu”;URBAN;Filologie;Limba româna;Limba engleza;26;TER;UMA;Zi;Liceal;9.37
B;191;Colegiul National ”Spiru Haret”;URBAN;Matematica-Informatica;Limba româna;-;52;TER;REA;Zi;Liceal;9.75
