j;c;l;lc;m;sp;lp;lb;nlt;nlo;fi;p;f;n;um;uma
B;710;"Liceul ""Profesia""";4061204784;URBAN;Economic;Limba romana;-;28;1;Zi;Servicii;Tehnologica;Liceal;4.10;-
B;711;"Liceul ""Profesia""";4061204784;URBAN;Filologie;Limba romana;-;56;3;Zi;Umanist;Teoretica;Liceal;3.37;5.41
B;705;Liceul International Ioanid;4061205835;URBAN;Stiinte ale Naturii;Limba romana;Limba engleza;15;0;Zi;Real;Teoretica;Liceal;-;-
B;706;Liceul International Ioanid;4061205835;URBAN;Filologie;Limba romana;Limba engleza;15;1;Zi;Umanist;Teoretica;Liceal;7.62;-
B;701;Liceul Teoretic German „Idees”;4061209414;URBAN;Matematica-Informatica;Limba germana;-;15;3;Zi;Real;Teoretica;Liceal;8.03;8.11
B;702;Liceul Teoretic German „Idees”;4061209414;URBAN;Stiinte ale Naturii;Limba germana;-;15;3;Zi;Real;Teoretica;Liceal;8.50;-
B;703;Liceul Teoretic German „Idees”;4061209414;URBAN;Filologie;Limba germana;-;15;2;Zi;Umanist;Teoretica;Liceal;6.35;-
B;704;Liceul Teoretic German „Idees”;4061209414;URBAN;Stiinte Sociale;Limba germana;-;15;1;Zi;Umanist;Teoretica;Liceal;7.11;8.11
B;709;"Liceul Teoretic ""Dr. Mioara Mincu""";4061207041;URBAN;Stiinte ale Naturii;Limba romana;-;78;2;Zi;Real;Teoretica;Liceal;6.75;6.73
B;712;"Liceul Teoretic ""Atlas""";4061205541;URBAN;Filologie;Limba romana;-;52;3;Zi;Umanist;Teoretica;Liceal;6.32;6.53
B;707;LICEUL FEG;4061205057;URBAN;Stiinte Sociale;Limba romana;-;90;6;Zi;Umanist;Teoretica;Liceal;3.62;-
B;708;"LICEUL PARTICULAR ""ONICESCU-MIHOC""";4061204445;URBAN;Economic;Limba romana;-;25;5;Zi;Servicii;Tehnologica;Liceal;2.75;-
B;362;"Colegiul Economic ""Viilor""";4061101019;URBAN;Turism Si alimentatie;Limba romana;-;216;216;Zi;Servicii;Tehnologica;Liceal;5.92;6.50
B;363;"Colegiul Economic ""Viilor""";4061101019;URBAN;Economic;Limba romana;-;120;120;Zi;Servicii;Tehnologica;Liceal;6.80;6.90
B;364;"Colegiul Economic ""Viilor""";4061101019;URBAN;Comert;Limba romana;-;48;48;Zi;Servicii;Tehnologica;Liceal;5.82;6.21
B;332;"Colegiul National ""Gheorghe Lazar""";4061103134;URBAN;Matematica-Informatica;Limba romana;-;78;78;Zi;Real;Teoretica;Liceal;9.90;9.84
B;333;"Colegiul National ""Gheorghe Lazar""";4061103134;URBAN;Stiinte ale Naturii;Limba romana;-;78;78;Zi;Real;Teoretica;Liceal;9.85;9.80
B;334;"Colegiul National ""Gheorghe Lazar""";4061103134;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;9.65;9.63
B;335;"Colegiul National ""Gheorghe Lazar""";4061103134;URBAN;Stiinte Sociale;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;9.72;9.69
B;353;"Colegiul Tehnic de Industrie Alimentara ""Dumitru Motoc""";4061103482;URBAN;Industrie alimentara;Limba romana;-;120;120;Zi;Resurse naturale Si protectia mediului;Tehnologica;Liceal;4.75;5.54
